,CRPOT,CRLAP,SCLAW,SCUMA,NCLMA,NCUMA,CRLOL,CRLOC,SEMEA,SEMOO,SEUMA,SNTUC,SNASO,GRWEN,GRLOO,GRLOS,GRMIN,GRCAT,GRUMA,IRMAI,IRBSH,SRLSR,SFMAI,SFSEC,SFEFS,MFCHA,MFLMA,MFBIG,MFCAM,MFLOO,MFUMA,MFSUL,MFBEA,MFMAR,SRPAN,SRNFS,SRLEM,SRLMA,SRPAH,SREFS,SRYFS,SRVAL,SRUMA
CRPOT,0,5.26,84.19,124.22,60.69,132.65,62.38,133.03,163.27,196.52,213.79,162.62,38.02,157.26,217.02,244.06,246.12,310.58,310.34,201.45,163.64,240.52,397.33,412.16,412.74,406.92,419.16,485.52,497.41,515.02,528.64,576.17,605.51,597.63,442.6,489.49,587.41,626.24,621.78,675.93,710.25,733.63,753.09
CRLAP,5.26,0,89.45,129.48,65.94,137.91,67.63,138.28,168.53,201.78,219.04,157.39,32.79,152.04,211.79,238.84,240.9,305.35,305.11,196.23,158.41,235.3,392.1,406.94,407.51,401.7,413.94,480.3,492.18,509.8,523.42,570.94,600.28,592.4,437.37,484.26,582.18,621.01,616.55,670.7,705.02,728.41,747.86
SCLAW,84.19,89.45,0,40.03,64.11,136.07,21.82,48.83,79.08,112.32,129.59,246.82,122.22,241.46,301.22,328.26,330.32,394.78,394.53,285.65,247.83,324.72,481.52,496.36,496.94,491.12,503.36,569.72,581.6,599.22,612.84,660.36,689.71,681.83,526.79,573.69,671.6,710.43,705.97,760.13,794.45,817.83,837.28
SCUMA,124.22,129.48,40.03,0,104.14,176.1,61.85,66.41,96.65,129.9,147.17,286.85,162.25,281.49,341.25,368.29,370.35,434.81,434.56,325.68,287.86,364.75,521.55,536.39,536.97,531.15,543.39,609.75,621.63,639.25,652.87,700.39,729.73,721.86,566.82,613.72,711.63,750.46,746,800.16,834.48,857.86,877.31
NCLMA,60.69,65.94,64.11,104.14,0,72.59,42.29,112.94,143.19,176.43,193.7,223.31,98.71,217.95,277.71,304.75,306.81,371.27,371.02,262.14,224.32,301.21,458.01,472.85,473.43,467.61,479.85,546.21,558.09,575.71,589.33,636.85,666.2,658.32,503.29,550.18,648.09,686.92,682.46,736.62,770.94,794.32,813.77
NCUMA,132.65,137.91,136.07,176.1,72.59,0,114.26,184.91,215.15,248.4,265.67,295.28,170.68,289.92,349.68,376.72,378.78,443.24,442.99,334.11,296.29,373.18,529.98,544.82,545.4,539.58,551.82,618.18,630.06,647.68,661.3,708.82,738.16,730.29,575.25,622.15,720.06,758.89,754.43,808.59,842.91,866.29,885.74
CRLOL,62.38,67.63,21.82,61.85,42.29,114.26,0,70.65,100.9,134.14,151.41,225,100.4,219.64,279.4,306.44,308.5,372.96,372.71,263.83,226.01,302.9,459.71,474.54,475.12,469.3,481.54,547.9,559.79,577.4,591.02,638.54,667.89,660.01,504.98,551.87,649.78,688.62,684.16,738.31,772.63,796.01,815.47
CRLOC,133.03,138.28,48.83,66.41,112.94,184.91,70.65,0,31.33,64.58,81.85,295.65,171.05,290.29,350.05,377.09,379.15,443.61,443.36,334.48,296.66,373.55,530.35,545.19,545.77,539.95,552.19,618.55,630.44,648.05,661.67,709.19,738.54,730.66,575.63,622.52,720.43,759.27,754.8,808.96,843.28,866.66,886.11
SEMEA,163.27,168.53,79.08,96.65,143.19,215.15,100.9,31.33,0,33.92,51.19,325.9,201.3,320.54,380.3,407.34,409.4,473.86,473.61,364.73,326.91,403.8,560.6,575.44,576.02,570.2,582.44,648.8,660.68,678.3,691.92,739.44,768.79,760.91,605.87,652.77,750.68,789.51,785.05,839.21,873.53,896.91,916.36
SEMOO,196.52,201.78,112.32,129.9,176.43,248.4,134.14,64.58,33.92,0,17.27,359.14,234.54,353.78,413.54,440.58,442.64,507.1,506.85,397.97,360.16,437.04,593.85,608.68,609.26,603.44,615.68,682.04,693.93,711.54,725.16,772.69,802.03,794.15,639.12,686.01,783.92,822.76,818.3,872.45,906.77,930.15,949.61
SEUMA,213.79,219.04,129.59,147.17,193.7,265.67,151.41,81.85,51.19,17.27,0,376.41,251.81,371.05,430.81,457.85,459.91,524.37,524.12,415.24,377.42,454.31,611.12,625.95,626.53,620.71,632.95,699.31,711.2,728.81,742.43,789.95,819.3,811.42,656.39,703.28,801.19,840.03,835.57,889.72,924.04,947.42,966.88
SNTUC,162.62,157.39,246.82,286.85,223.31,295.28,225,295.65,325.9,359.14,376.41,0,151.91,271.15,330.91,357.95,360.01,424.47,424.23,315.34,277.53,354.41,511.22,526.05,526.63,520.81,533.05,599.41,611.3,628.91,642.53,690.06,719.4,711.52,556.49,603.38,701.29,740.13,735.67,789.82,824.14,847.52,866.98
SNASO,38.02,32.79,122.22,162.25,98.71,170.68,100.4,171.05,201.3,234.54,251.81,151.91,0,126.41,186.17,213.21,215.27,279.73,279.49,170.6,132.79,209.67,366.48,381.31,381.89,376.07,388.31,454.67,466.56,484.17,497.79,545.32,574.66,566.78,411.75,458.64,556.55,595.39,590.93,645.08,679.4,702.78,722.24
GRWEN,157.26,152.04,241.46,281.49,217.95,289.92,219.64,290.29,320.54,353.78,371.05,271.15,126.41,0,85.58,112.63,114.69,179.14,178.9,214.8,176.98,253.87,410.67,425.51,426.09,420.27,432.51,498.87,510.76,528.37,541.99,589.51,618.86,610.98,455.95,502.84,600.75,639.59,635.12,689.28,723.6,746.98,766.43
