code	L	A	Lw	Aw
GRCAT	45805	291522	22843	158459
GRLOO	23234	144506	8900	55300
GRLOS	96976	746631	65683	542482
GRMIN	44679	377946	23207	198523
GRUMA	53620	322713	33315	204407
GRWEN	58033	492735	24152	216181
IRBSH	24649	155136	10553	65474
IRMAI	58922	572092	29005	277765
MFBEA	150708	756181	73806	495258
MFBIG	186141	1405450	78257	580126
MFCAM	105839	634086	34957	241210
MFLMA	107306	2510860	8000	83876
MFLOO	112645	741852	35951	268855
MFMAR	101713	443858	41917	228026
MFSUL	28972	148618	18407	114863
MFUMA	249035	2070073	63938	477666
SFEFS	146620	1232790	68930	559426
SFMAI	286634	3092499	64964	558746
SFSEC	96081	710780	50741	386939
SNASO	15220	77200	4901	25035
SNTUC	30246	242421	15302	125412
SRCHA	140674	747337	42200	250173
SREFS	125520	886610	60491	532911
SRLEM	128479	1483443	76870	922805
SRLMA	337713	6122623	88678	1307544
SRLSR	160522	1212833	34543	320065
SRNFS	68832	360055	28062	175700
SRPAH	59285	666608	57638	647038
SRPAN	32048	243247	13804	122415
SRUMA	142511	801029	88894	612936
SRVAL	111336	426649	48721	261174
SRYFS	126690	522566	31460	205065
UCENT	28019	315877	20750	244348
UCMET	192171	2300666	108950	1350448
UCWEN	155934	2194441	102150	1329882
