year	R_F_obs	C_obs
1960	142900	77300
1961	159200	68000
1962	203800	120000
1963	150800	90100
1964	163400	86200
1965	164700	108000
1966	167300	63300
1967	142400	76600
1968	123900	49600
1969	200000	72800
1970	160300	70900
1971	146500	49700
1972	269500	133100
1973	223800	122600
1974	99800	37900
1975	98000	200
1976	63900	400
1977	138400	41600
1978	127000	7500
1979	16043	686
1980	20968	709
1981	24753	1583
1982	27601	2376
1983	20936	1846
1984	14119	1422
1985	14865	1041
1986	20085	1574
1987	15870	1203
1988	17368	2256
1989	14707	1447
1990	17581	2034
1991	13106	1303
1992	20637	1575
1993	17900	1236
1994	3721	325
1995	3382	170
1996	9037	483
1997	9172	619
1998	13722	702
1999	5525	260
2000	13923	874
2001	63322	9144
2002	52423	6540
2003	50828	4802
2004	33213	3585
2005	15206	1206
2006	16846	1366
2007	10426	863
2008	23989	3798
2009	20299	2080
2010	34839	5818
2011	30590	2698
2012	35822	3814
2013	22313	2054
2014	45665	5716
2015	30273	4048
2016	24973	2815
