code	pop	MPG	ESU	year	S_tot_obs	n_age3_obs	n_age4_obs	n_age5_obs	n_H_obs	n_W_obs	p_HOS	fit_p_HOS	B_take_obs	F_rate
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1955	122	0	0	0	0	0	0.00	0	0	NA
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1956	2606	0	0	0	0	0	0.00	0	0	NA
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1957	1754	0	0	0	0	0	0.00	0	0	0.61
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1958	486	0	0	0	0	0	0.00	0	0	0.79
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1959	712	0	0	0	0	0	0.00	0	0	0.70
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1960	3161	0	0	0	0	0	0.00	0	0	0.60
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1961	347	0	0	0	0	0	0.00	0	0	0.57
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1962	1146	0	0	0	0	0	0.00	0	0	0.74
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1963	313	0	0	0	0	0	0.00	0	0	0.67
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1964	208	0	0	0	0	0	0.00	0	0	0.85
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1965	770	2	4	0	0	0	0.00	0	0	0.66
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1966	626	0	3	1	0	0	0.00	0	0	0.80
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1967	1625	0	3	1	0	0	0.00	0	0	0.59
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1968	822	0	6	0	0	0	0.00	0	0	0.45
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1969	1882	1	29	0	0	0	0.00	0	0	0.39
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1970	992	0	8	1	0	0	0.00	0	0	0.44
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1971	2319	1	18	0	0	0	0.00	0	0	0.35
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1972	1106	1	30	9	0	0	0.00	0	0	0.50
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1973	1855	0	10	2	0	0	0.00	0	0	0.61
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1974	753	0	23	8	0	0	0.00	0	0	0.37
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1975	399	0	0	1	0	0	0.00	0	0	0.00
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1976	1028	1	42	1	0	0	0.00	0	0	0.01
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1977	104	0	0	0	0	0	0.00	0	0	0.78
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1978	878	0	0	0	0	0	0.00	0	0	0.06
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1979	579	0	0	0	0	0	0.00	0	0	0.04
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1980	1034	0	0	0	0	0	0.00	0	0	0.03
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1981	275	0	0	0	0	0	0.00	0	0	0.07
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1982	745	0	0	0	0	0	0.00	0	0	0.09
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1983	733	0	0	0	0	0	0.00	0	0	0.09
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1984	378	0	0	0	0	0	0.00	0	0	0.10
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1985	386	0	0	0	0	0	0.00	0	0	0.07
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1986	399	0	0	0	10	40	0.20	1	0	0.08
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1987	685	1	59	3	39	11	0.78	1	0	0.10
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1988	690	1	27	18	38	12	0.76	1	0	0.14
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1989	191	0	9	1	31	19	0.62	1	0	0.11
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1990	145	0	6	2	50	0	1.00	1	0	0.12
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1991	64	1	14	2	44	7	0.86	1	0	0.10
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1992	162	0	9	0	38	13	0.75	1	0	0.08
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1993	268	2	2	23	30	20	0.60	1	0	0.07
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1994	28	0	2	3	25	25	0.50	1	0	0.10
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1995	38	1	6	0	0	0	0.00	0	0	0.05
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1996	35	0	5	0	0	0	0.00	0	0	0.05
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1997	103	0	2	0	0	2	0.00	0	0	0.07
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1998	91	0	6	22	0	28	0.00	0	0	0.06
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	1999	44	0	16	0	0	16	0.00	0	0	0.04
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2000	58	2	19	3	0	22	0.00	0	2	0.06
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2001	512	9	74	7	0	65	0.00	0	25	0.15
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2002	430	11	119	39	142	130	0.52	1	39	0.13
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2003	424	2	57	181	266	187	0.59	1	53	0.09
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2004	215	2	45	8	163	37	0.82	1	19	0.11
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2005	143	3	40	6	107	39	0.73	1	9	0.08
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2006	251	10	93	4	146	86	0.63	1	21	0.08
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2007	171	6	39	30	104	44	0.70	1	31	0.09
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2008	216	5	73	12	125	72	0.63	1	18	0.15
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2009	276	39	90	25	104	119	0.47	1	35	0.11
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2010	973	26	430	7	439	435	0.50	1	28	0.15
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2011	1662	31	83	6	52	83	0.39	1	37	0.11
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2012	665	14	321	44	328	329	0.50	1	50	0.13
GRCAT	Catherine	Grande Ronde/Imnaha	SRSS	2013	489	96	201	42	220	285	0.44	1	54	0.10
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1952	734	0	0	0	0	0	0.00	0	0	NA
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1953	817	2	12	11	0	0	0.00	0	0	NA
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1954	932	0	0	0	0	0	0.00	0	0	NA
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1955	1451	0	0	0	0	0	0.00	0	0	NA
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1956	905	0	0	0	0	0	0.00	0	0	NA
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1957	2204	0	0	0	0	0	0.00	0	0	0.58
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1958	NA	0	0	0	0	0	0.00	0	0	0.71
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1959	657	0	0	0	0	0	0.00	0	0	0.65
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1960	606	0	0	0	0	0	0.00	0	0	0.58
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1961	281	0	0	0	0	0	0.00	0	0	0.50
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1962	338	6	11	3	0	0	0.00	0	0	0.63
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1963	1104	3	16	11	0	0	0.00	0	0	0.62
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1964	1585	9	89	19	0	0	0.00	0	0	0.59
GRLOS	Lostine	Grande Ronde/Imnaha	SRSS	1965	956	1	7	3	0	0	0.00	0	0	0.74
