pop	old_name	code	MPG	A	year	fit_p_HOS	category	period	S_tot_obs	n_age3_obs	n_age4_obs	n_age5_obs	n_H_obs	n_W_obs	p_HOS	B_take_obs	F_rate
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1955	0	impact	before	122	7	33	11	0	50	0	0	0
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1956	0	impact	before	2606	5	34	12	0	50	0	0	0
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1957	0	impact	before	1754	4	36	11	0	50	0	0	0
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1958	0	impact	before	486	3	42	5	0	50	0	0	0.79
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1959	0	impact	before	712	4	38	9	0	50	0	0	0.7
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1960	0	impact	before	3161	3	41	6	0	50	0	0	0.6
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1961	0	impact	before	347	9	35	7	0	50	0	0	0.57
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1962	0	impact	before	1146	3	39	8	0	50	0	0	0.74
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1963	0	impact	before	313	9	25	17	0	50	0	0	0.67
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1964	0	impact	before	208	6	37	7	0	50	0	0	0.85
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1965	0	impact	before	770	2	46	2	0	50	0	0	0.66
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1966	0	impact	before	626	10	37	4	0	50	0	0	0.8
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1967	0	impact	before	1625	8	26	16	0	50	0	0	0.59
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1968	0	impact	before	822	6	36	8	0	50	0	0	0.45
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1969	0	impact	before	1882	2	49	0	0	50	0	0	0.39
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1970	0	impact	before	992	4	43	4	0	50	0	0	0.44
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1971	0	impact	before	2319	3	45	3	0	50	0	0	0.35
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1972	0	impact	before	1106	1	37	11	0	50	0	0	0.5
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1973	0	impact	before	1855	1	41	9	0	50	0	0	0.61
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1974	0	impact	before	753	1	38	12	0	50	0	0	0.37
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1975	0	impact	before	399	5	17	28	0	50	0	0	0
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1976	0	impact	before	1028	3	39	9	0	50	0	0	0.01
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1977	0	impact	before	104	0	0	0	0	50	0	0	0.78
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1978	0	impact	before	878	0	7	44	0	50	0	0	0.06
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1979	0	impact	before	579	0	0	0	0	50	0	0	0.04
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1980	0	impact	before	1034	0	0	0	0	50	0	0	0.03
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1981	0	impact	before	275	0	0	0	0	50	0	0	0.07
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1982	0	impact	before	745	0	0	0	0	50	0	0	0.09
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1983	0	impact	before	733	0	6	44	0	50	0	0	0.09
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1984	0	impact	before	378	0	35	16	0	50	0	0	0.1
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1985	0	impact	before	386	2	37	12	0	50	0	0	0.07
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1986	1	impact	nonlocal	399	2	32	17	10	40	0.2	0	0.08
Catherine	CathCr	GRCAT	Grande Ronde / Imnaha	29.1522	1987	1	impact	nonlocal	685	1	47	2	39	11	0.78	0	0.08
