"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	0.03	0.12	0.59	0.06	0.23	0.68
""	0.1	0.04	0.16	0.68	0.11	0.36	0.79
""	0.2	0.07	0.22	0.76	0.19	0.53	0.89
""	0.3	0.11	0.35	0.85	0.31	0.71	0.95
"GRLOS"	0	0.01	0.04	0.35	0	0.03	0.27
""	0.1	0.02	0.05	0.4	0.02	0.04	0.35
""	0.2	0.02	0.07	0.47	0.02	0.1	0.47
""	0.3	0.03	0.12	0.57	0.05	0.2	0.62
"GRMIN"	0	0.01	0.02	0.29	0	0.02	0.19
""	0.1	0.01	0.04	0.34	0.01	0.04	0.26
""	0.2	0.02	0.06	0.41	0.02	0.06	0.37
""	0.3	0.02	0.1	0.5	0.03	0.12	0.48
"GRUMA"	0	0.08	0.26	0.78	0.18	0.53	0.89
""	0.1	0.11	0.34	0.84	0.27	0.69	0.94
""	0.2	0.16	0.45	0.91	0.4	0.82	0.97
""	0.3	0.23	0.57	0.94	0.55	0.92	0.99
"GRWEN"	0	0.01	0.05	0.4	0.01	0.07	0.37
""	0.1	0.02	0.06	0.48	0.02	0.1	0.5
""	0.2	0.03	0.12	0.57	0.05	0.2	0.63
""	0.3	0.05	0.17	0.67	0.1	0.32	0.77
"IRMAI"	0	0	0.01	0.16	0	0	0.09
""	0.1	0	0.01	0.2	0	0.01	0.13
""	0.2	0	0.02	0.26	0	0.01	0.19
""	0.3	0.01	0.04	0.34	0.01	0.03	0.29
"MFBEA"	0	0	0.02	0.24	0	0.01	0.16
""	0.1	0	0.02	0.31	0	0.02	0.22
""	0.2	0.01	0.04	0.38	0	0.04	0.33
""	0.3	0.01	0.06	0.47	0.02	0.07	0.46
"MFBIG"	0	0.04	0.14	0.6	0.05	0.16	0.57
""	0.1	0.06	0.18	0.67	0.09	0.25	0.68
""	0.2	0.08	0.22	0.75	0.12	0.35	0.8
""	0.3	0.11	0.31	0.82	0.18	0.49	0.88
"MFCAM"	0	0.26	0.51	0.93	0.45	0.77	0.98
""	0.1	0.32	0.59	0.94	0.57	0.85	0.99
""	0.2	0.37	0.7	0.97	0.69	0.93	1
""	0.3	0.46	0.79	0.99	0.79	0.98	1
"MFCHA"	0	0	0.01	0.25	0	0.01	0.13
""	0.1	0.01	0.02	0.29	0	0.02	0.19
""	0.2	0.01	0.03	0.36	0	0.02	0.27
""	0.3	0.01	0.07	0.44	0.01	0.05	0.36
"MFLOO"	0	0.24	0.51	0.94	0.45	0.79	0.97
""	0.1	0.29	0.58	0.95	0.54	0.88	0.99
""	0.2	0.36	0.68	0.98	0.67	0.93	1
""	0.3	0.43	0.77	0.99	0.76	0.98	1
"MFMAR"	0	0.01	0.05	0.45	0.02	0.06	0.44
""	0.1	0.02	0.09	0.53	0.02	0.13	0.56
""	0.2	0.03	0.12	0.64	0.04	0.2	0.72
""	0.3	0.05	0.18	0.73	0.1	0.37	0.85
"MFSUL"	0	0.28	0.56	0.94	0.53	0.85	0.99
""	0.1	0.34	0.66	0.96	0.64	0.93	0.99
""	0.2	0.41	0.73	0.99	0.74	0.97	1
""	0.3	0.49	0.83	0.99	0.84	0.99	1
"MFUMA"	0	0.19	0.45	0.89	0.37	0.68	0.95
""	0.1	0.24	0.55	0.94	0.49	0.82	0.98
""	0.2	0.31	0.62	0.96	0.6	0.89	0.99
""	0.3	0.4	0.75	0.99	0.72	0.96	1
"SFEFS"	0	0.01	0.06	0.43	0.01	0.04	0.35
""	0.1	0.02	0.07	0.49	0.01	0.08	0.48
""	0.2	0.03	0.09	0.58	0.03	0.14	0.6
""	0.3	0.04	0.15	0.68	0.07	0.26	0.71
"SFMAI"	0	0	0	0.11	0	0	0.05
""	0.1	0	0.01	0.14	0	0	0.07
""	0.2	0	0.01	0.18	0	0	0.11
""	0.3	0	0.02	0.24	0	0.01	0.15
"SFSEC"	0	0.01	0.03	0.29	0	0.02	0.2
""	0.1	0.01	0.04	0.35	0	0.03	0.26
""	0.2	0.02	0.07	0.43	0.02	0.06	0.36
""	0.3	0.03	0.09	0.52	0.02	0.12	0.48
"SNTUC"	0	0.02	0.08	0.51	0.03	0.1	0.52
""	0.1	0.03	0.11	0.6	0.05	0.17	0.64
""	0.2	0.04	0.15	0.68	0.07	0.27	0.78
""	0.3	0.05	0.22	0.78	0.15	0.48	0.88
"SREFS"	0	0	0.02	0.26	0	0.01	0.2
""	0.1	0.01	0.03	0.36	0	0.03	0.28
""	0.2	0.01	0.04	0.4	0	0.06	0.41
""	0.3	0.02	0.06	0.52	0.03	0.1	0.57
"SRLEM"	0	0.01	0.05	0.44	0.02	0.05	0.41
""	0.1	0.02	0.07	0.53	0.02	0.1	0.55
""	0.2	0.03	0.1	0.63	0.05	0.18	0.68
""	0.3	0.05	0.17	0.71	0.09	0.34	0.83
"SRLMA"	0	0.06	0.18	0.66	0.08	0.24	0.65
""	0.1	0.08	0.22	0.73	0.12	0.31	0.72
""	0.2	0.1	0.28	0.8	0.18	0.45	0.84
""	0.3	0.13	0.37	0.84	0.27	0.6	0.92
"SRNFS"	0	0.27	0.6	0.95	0.53	0.86	0.99
""	0.1	0.33	0.69	0.97	0.61	0.91	1
""	0.2	0.4	0.76	0.99	0.74	0.97	1
""	0.3	0.5	0.85	1	0.82	0.99	1
"SRPAH"	0	0.03	0.08	0.5	0.03	0.11	0.49
""	0.1	0.03	0.11	0.58	0.05	0.15	0.62
""	0.2	0.05	0.14	0.66	0.08	0.26	0.72
""	0.3	0.06	0.22	0.77	0.14	0.4	0.85
"SRUMA"	0	0	0	0.14	0	0	0.06
""	0.1	0	0.01	0.17	0	0	0.1
""	0.2	0	0.02	0.22	0	0.01	0.15
""	0.3	0	0.02	0.27	0	0.02	0.22
"SRVAL"	0	0.07	0.19	0.7	0.09	0.29	0.77
""	0.1	0.08	0.24	0.77	0.14	0.43	0.87
""	0.2	0.12	0.33	0.85	0.22	0.58	0.94
""	0.3	0.16	0.44	0.91	0.34	0.76	0.98
"SRYFS"	0	0.09	0.27	0.81	0.17	0.48	0.9
""	0.1	0.13	0.34	0.87	0.24	0.64	0.96
""	0.2	0.16	0.43	0.92	0.37	0.79	0.98
""	0.3	0.22	0.56	0.96	0.51	0.89	0.99
"UCENT"	0	0.03	0.1	0.58	0.04	0.18	0.63
""	0.1	0.04	0.13	0.68	0.08	0.27	0.74
""	0.2	0.05	0.19	0.76	0.12	0.44	0.85
""	0.3	0.08	0.28	0.84	0.2	0.6	0.93
"UCMET"	0	0	0.01	0.25	0	0.01	0.19
""	0.1	0	0.02	0.31	0	0.02	0.27
""	0.2	0.01	0.03	0.4	0.01	0.04	0.38
""	0.3	0.01	0.05	0.49	0.01	0.1	0.5
"UCWEN"	0	0	0.02	0.41	0.01	0.05	0.46
""	0.1	0.01	0.04	0.47	0.01	0.12	0.58
""	0.2	0.01	0.06	0.58	0.04	0.23	0.74
""	0.3	0.01	0.11	0.7	0.08	0.41	0.89
