"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	"1998 (163-25293)"	"422 (39-3990)"	"37 (0-604)"	"398 (43-4907)"	"109 (10-781)"	"23 (0-269)"
""	0.1	"1581 (154-22508)"	"314 (29-3056)"	"24 (0-466)"	"277 (23-3912)"	"71 (6-646)"	"15 (0-195)"
""	0.2	"1288 (87-18764)"	"210 (15-2293)"	"14 (0-319)"	"183 (14-3049)"	"47 (4-417)"	"9 (0-135)"
""	0.3	"942 (60-15514)"	"132 (8-1482)"	"7 (0-225)"	"121 (6-2282)"	"26 (1-259)"	"5 (0-66)"
"GRLOS"	0	"1510 (172-13863)"	"577 (82-4106)"	"128 (3-1319)"	"535 (98-3844)"	"270 (45-1284)"	"103 (7-672)"
""	0.1	"1301 (159-13770)"	"493 (66-3264)"	"101 (2-1149)"	"459 (76-3933)"	"216 (37-933)"	"83 (6-536)"
""	0.2	"1122 (148-11631)"	"393 (63-2495)"	"79 (1-810)"	"393 (63-3357)"	"166 (27-870)"	"63 (3-460)"
""	0.3	"962 (124-10739)"	"335 (43-2362)"	"59 (1-668)"	"296 (51-2430)"	"132 (21-721)"	"42 (2-302)"
"GRMIN"	0	"1648 (181-16132)"	"640 (75-4309)"	"171 (5-1412)"	"595 (100-4478)"	"312 (61-1524)"	"138 (13-762)"
""	0.1	"1398 (163-14907)"	"518 (72-3650)"	"132 (3-1240)"	"483 (93-3895)"	"258 (47-1279)"	"112 (10-715)"
""	0.2	"1146 (126-11973)"	"451 (64-3261)"	"104 (2-1097)"	"402 (79-3936)"	"220 (40-1090)"	"84 (6-551)"
""	0.3	"1016 (130-9656)"	"374 (47-2737)"	"74 (1-886)"	"356 (61-2727)"	"171 (28-902)"	"61 (4-424)"
"GRUMA"	0	"777 (84-9795)"	"202 (18-1380)"	"21 (0-397)"	"179 (24-2279)"	"57 (7-423)"	"13 (0-119)"
""	0.1	"662 (58-8066)"	"150 (14-1185)"	"14 (0-205)"	"137 (16-1875)"	"39 (5-331)"	"9 (0-98)"
""	0.2	"507 (49-7498)"	"111 (9-898)"	"8 (0-124)"	"95 (9-1364)"	"26 (2-210)"	"6 (0-65)"
""	0.3	"421 (27-5638)"	"70 (5-814)"	"5 (0-112)"	"63 (6-914)"	"15 (1-141)"	"3 (0-39)"
"GRWEN"	0	"2033 (210-20564)"	"598 (82-4232)"	"96 (1-1286)"	"579 (85-5342)"	"222 (33-1242)"	"72 (3-546)"
""	0.1	"1665 (203-21187)"	"491 (51-3632)"	"72 (1-986)"	"451 (74-4267)"	"177 (24-1089)"	"53 (2-392)"
""	0.2	"1407 (140-15921)"	"390 (39-3078)"	"48 (0-746)"	"342 (50-3584)"	"130 (15-697)"	"33 (1-377)"
""	0.3	"1214 (120-12439)"	"275 (24-2377)"	"27 (0-574)"	"261 (30-2620)"	"83 (8-539)"	"20 (0-237)"
"IRMAI"	0	"2789 (330-28404)"	"1079 (165-7662)"	"287 (9-2304)"	"1029 (199-8277)"	"519 (93-2650)"	"218 (18-1326)"
""	0.1	"2620 (309-27117)"	"934 (144-6970)"	"230 (5-2338)"	"875 (156-7151)"	"443 (78-2190)"	"169 (13-1089)"
""	0.2	"2216 (267-23850)"	"798 (108-5666)"	"187 (4-1694)"	"760 (146-5569)"	"347 (62-1702)"	"135 (7-856)"
""	0.3	"1963 (210-18590)"	"656 (91-4174)"	"128 (2-1175)"	"604 (101-4477)"	"284 (50-1388)"	"98 (6-679)"
"MFBEA"	0	"1772 (245-20322)"	"735 (109-5155)"	"221 (7-1764)"	"679 (124-4848)"	"368 (73-1795)"	"158 (14-834)"
""	0.1	"1627 (182-18241)"	"636 (78-4508)"	"177 (5-1853)"	"600 (94-4155)"	"304 (57-1534)"	"135 (12-760)"
""	0.2	"1348 (184-16190)"	"544 (65-3581)"	"143 (3-1240)"	"481 (84-3921)"	"258 (46-1276)"	"105 (7-611)"
""	0.3	"1258 (136-12922)"	"429 (59-3434)"	"101 (2-928)"	"390 (63-3057)"	"209 (36-907)"	"72 (4-511)"
"MFBIG"	0	"642 (79-6039)"	"275 (37-1763)"	"106 (6-892)"	"252 (43-2020)"	"152 (33-693)"	"84 (12-440)"
""	0.1	"554 (73-5846)"	"230 (35-1531)"	"90 (4-691)"	"222 (43-1441)"	"133 (29-625)"	"71 (9-352)"
""	0.2	"486 (69-5310)"	"212 (30-1465)"	"77 (4-656)"	"199 (38-1449)"	"112 (22-568)"	"56 (8-295)"
""	0.3	"463 (59-4437)"	"179 (24-1183)"	"60 (2-557)"	"169 (28-1108)"	"92 (19-456)"	"46 (4-267)"
"MFCAM"	0	"410 (47-4990)"	"150 (19-1104)"	"30 (1-323)"	"142 (23-1102)"	"68 (13-312)"	"24 (1-162)"
""	0.1	"367 (44-3979)"	"125 (14-971)"	"25 (0-236)"	"114 (18-941)"	"51 (9-236)"	"17 (1-123)"
""	0.2	"317 (36-3552)"	"104 (11-791)"	"18 (0-211)"	"96 (16-700)"	"40 (7-204)"	"11 (0-91)"
""	0.3	"272 (28-3495)"	"78 (8-496)"	"12 (0-135)"	"68 (11-688)"	"28 (4-150)"	"7 (0-65)"
"MFCHA"	0	"1755 (213-17288)"	"759 (96-5861)"	"262 (7-2350)"	"679 (124-6061)"	"398 (82-2140)"	"189 (20-1157)"
""	0.1	"1547 (189-19020)"	"665 (87-5103)"	"205 (5-2057)"	"597 (114-4852)"	"333 (65-1694)"	"157 (14-866)"
""	0.2	"1391 (148-14781)"	"568 (76-3892)"	"166 (4-1820)"	"509 (93-4503)"	"289 (58-1557)"	"125 (11-791)"
""	0.3	"1231 (159-14231)"	"489 (61-3994)"	"127 (2-1322)"	"432 (67-3945)"	"242 (45-1093)"	"98 (8-611)"
"MFLOO"	0	"336 (39-3720)"	"134 (19-1027)"	"41 (1-364)"	"122 (23-1002)"	"70 (14-333)"	"31 (3-168)"
""	0.1	"306 (41-3491)"	"123 (15-862)"	"36 (1-332)"	"109 (19-754)"	"59 (11-260)"	"26 (2-141)"
""	0.2	"254 (34-3016)"	"103 (15-823)"	"26 (1-247)"	"89 (17-821)"	"48 (8-226)"	"20 (1-122)"
""	0.3	"235 (29-2324)"	"88 (11-593)"	"20 (0-204)"	"75 (14-557)"	"40 (7-192)"	"14 (1-100)"
"MFMAR"	0	"1486 (156-15631)"	"462 (66-3509)"	"102 (2-1075)"	"450 (75-3257)"	"214 (35-1082)"	"71 (3-517)"
""	0.1	"1234 (145-13326)"	"430 (53-2619)"	"78 (1-710)"	"379 (68-3323)"	"166 (30-930)"	"52 (3-405)"
""	0.2	"1008 (121-11585)"	"334 (40-2180)"	"56 (1-603)"	"297 (49-2556)"	"130 (21-817)"	"36 (1-325)"
""	0.3	"878 (115-10006)"	"259 (35-1720)"	"38 (0-408)"	"235 (36-1865)"	"84 (16-458)"	"23 (1-209)"
"MFSUL"	0	"406 (47-4569)"	"133 (16-829)"	"21 (0-234)"	"117 (17-852)"	"47 (7-255)"	"13 (0-118)"
""	0.1	"341 (41-4249)"	"102 (12-816)"	"15 (0-164)"	"98 (14-808)"	"38 (6-183)"	"9 (0-90)"
""	0.2	"307 (32-3954)"	"77 (9-610)"	"10 (0-107)"	"72 (9-747)"	"28 (3-159)"	"6 (0-57)"
""	0.3	"239 (28-3144)"	"60 (6-452)"	"6 (0-98)"	"52 (6-623)"	"18 (2-103)"	"3 (0-42)"
