"Population"	"Mortality"	"base_good"	"base_med"	"base_bad"	"step_good"	"step_med"	"step_bad"
"GRCAT"	0	"200 (16-2529)"	"42 (4-399)"	"4 (0-60)"	"40 (4-491)"	"11 (1-78)"	"2 (0-27)"
""	0.1	"158 (15-2251)"	"31 (3-306)"	"2 (0-47)"	"28 (2-391)"	"7 (1-65)"	"2 (0-19)"
""	0.2	"129 (9-1876)"	"21 (1-229)"	"1 (0-32)"	"18 (1-305)"	"5 (0-42)"	"1 (0-14)"
""	0.3	"94 (6-1551)"	"13 (1-148)"	"1 (0-22)"	"12 (1-228)"	"3 (0-26)"	"0 (0-7)"
"GRLOS"	0	"151 (17-1386)"	"58 (8-411)"	"13 (0-132)"	"54 (10-384)"	"27 (4-128)"	"10 (1-67)"
""	0.1	"130 (16-1377)"	"49 (7-326)"	"10 (0-115)"	"46 (8-393)"	"22 (4-93)"	"8 (1-54)"
""	0.2	"112 (15-1163)"	"39 (6-250)"	"8 (0-81)"	"39 (6-336)"	"17 (3-87)"	"6 (0-46)"
""	0.3	"96 (12-1074)"	"33 (4-236)"	"6 (0-67)"	"30 (5-243)"	"13 (2-72)"	"4 (0-30)"
"GRMIN"	0	"220 (24-2151)"	"85 (10-575)"	"23 (1-188)"	"79 (13-597)"	"42 (8-203)"	"18 (2-102)"
""	0.1	"186 (22-1988)"	"69 (10-487)"	"18 (0-165)"	"64 (12-519)"	"34 (6-170)"	"15 (1-95)"
""	0.2	"153 (17-1596)"	"60 (9-435)"	"14 (0-146)"	"54 (11-525)"	"29 (5-145)"	"11 (1-73)"
""	0.3	"135 (17-1287)"	"50 (6-365)"	"10 (0-118)"	"48 (8-364)"	"23 (4-120)"	"8 (1-56)"
"GRUMA"	0	"78 (8-979)"	"20 (2-138)"	"2 (0-40)"	"18 (2-228)"	"6 (1-42)"	"1 (0-12)"
""	0.1	"66 (6-807)"	"15 (1-119)"	"1 (0-21)"	"14 (2-187)"	"4 (0-33)"	"1 (0-10)"
""	0.2	"51 (5-750)"	"11 (1-90)"	"1 (0-12)"	"9 (1-136)"	"3 (0-21)"	"1 (0-7)"
""	0.3	"42 (3-564)"	"7 (1-81)"	"0 (0-11)"	"6 (1-91)"	"1 (0-14)"	"0 (0-4)"
"GRWEN"	0	"271 (28-2742)"	"80 (11-564)"	"13 (0-171)"	"77 (11-712)"	"30 (4-166)"	"10 (0-73)"
""	0.1	"222 (27-2825)"	"65 (7-484)"	"10 (0-131)"	"60 (10-569)"	"24 (3-145)"	"7 (0-52)"
""	0.2	"188 (19-2123)"	"52 (5-410)"	"6 (0-99)"	"46 (7-478)"	"17 (2-93)"	"4 (0-50)"
""	0.3	"162 (16-1659)"	"37 (3-317)"	"4 (0-77)"	"35 (4-349)"	"11 (1-72)"	"3 (0-32)"
"IRMAI"	0	"372 (44-3787)"	"144 (22-1022)"	"38 (1-307)"	"137 (27-1104)"	"69 (12-353)"	"29 (2-177)"
""	0.1	"349 (41-3616)"	"124 (19-929)"	"31 (1-312)"	"117 (21-953)"	"59 (10-292)"	"23 (2-145)"
""	0.2	"296 (36-3180)"	"106 (14-755)"	"25 (0-226)"	"101 (19-743)"	"46 (8-227)"	"18 (1-114)"
""	0.3	"262 (28-2479)"	"87 (12-557)"	"17 (0-157)"	"81 (13-597)"	"38 (7-185)"	"13 (1-90)"
"MFBEA"	0	"236 (33-2710)"	"98 (14-687)"	"29 (1-235)"	"91 (17-646)"	"49 (10-239)"	"21 (2-111)"
""	0.1	"217 (24-2432)"	"85 (10-601)"	"24 (1-247)"	"80 (13-554)"	"41 (8-205)"	"18 (2-101)"
""	0.2	"180 (25-2159)"	"73 (9-477)"	"19 (0-165)"	"64 (11-523)"	"34 (6-170)"	"14 (1-81)"
""	0.3	"168 (18-1723)"	"57 (8-458)"	"13 (0-124)"	"52 (8-408)"	"28 (5-121)"	"10 (1-68)"
"MFBIG"	0	"64 (8-604)"	"28 (4-176)"	"11 (1-89)"	"25 (4-202)"	"15 (3-69)"	"8 (1-44)"
""	0.1	"55 (7-585)"	"23 (3-153)"	"9 (0-69)"	"22 (4-144)"	"13 (3-62)"	"7 (1-35)"
