year	pdo.jan	pdo.feb	pdo.mar	pdo.apr	pdo.may	pdo.jun	pdo.jul	pdo.aug	pdo.sep	pdo.oct	pdo.nov	pdo.dec	cui.jan	cui.feb	cui.mar	cui.apr	cui.may	cui.jun	cui.jul	cui.aug	cui.sep	cui.oct	cui.nov	cui.dec
1950	-2.13	-2.91	-1.13	-1.2	-2.23	-1.77	-2.93	-0.7	-2.14	-1.36	-2.46	-0.76	-16	-166	-49	-4	49	32	71	15	14	-54	-72	-168
1951	-1.54	-1.06	-1.9	-0.36	-0.25	-1.09	0.7	-1.37	-0.08	-0.32	-0.28	-1.68	-65	-39	-2	34	16	105	60	98	6	-16	-138	-19
1952	-2.01	-0.46	-0.63	-1.05	-1	-1.43	-1.25	-0.6	-0.89	-0.35	-0.76	0.04	-135	-30	1	-2	18	31	82	50	15	-1	-64	-273
1953	-0.57	-0.07	-1.12	0.05	0.43	0.29	0.74	0.05	-0.63	-1.09	-0.03	0.07	-235	-1	-17	-3	2	24	67	10	18	-9	-147	-45
1954	-1.32	-1.61	-0.52	-1.33	0.01	0.97	0.43	0.08	-0.94	0.52	0.72	-0.5	-57	-101	2	4	28	4	37	37	7	-47	-141	-164
1955	0.2	-1.52	-1.26	-1.97	-1.21	-2.44	-2.35	-2.25	-1.95	-2.8	-3.08	-2.75	-44	-2	1	0	67	60	68	98	37	-11	-44	-79
1956	-2.48	-2.74	-2.56	-2.17	-1.41	-1.7	-1.03	-1.16	-0.71	-2.3	-2.11	-1.28	-150	-15	-22	57	57	19	92	62	5	-5	-20	-60
1957	-1.82	-0.68	0.03	-0.58	0.57	1.76	0.72	0.51	1.59	1.5	-0.32	-0.55	-16	-12	-28	13	10	35	66	35	5	-1	-15	-125
1958	0.25	0.62	0.25	1.06	1.28	1.33	0.89	1.06	0.29	0.01	-0.18	0.86	-271	-162	-4	-1	38	49	124	63	7	-8	-26	-120
1959	0.69	-0.43	-0.95	-0.02	0.23	0.44	-0.5	-0.62	-0.85	0.52	1.11	0.06	-85	-16	-9	21	33	30	102	90	3	0	-14	-56
